Mandarin,English
我,I
你,you
了,Already
是,yes
在,exist
他,he
我们,us
不,No
吗,Ma
好,good
什么,What
有,have
就,At once
吧,Bar
她,she
这,this
知道,Know
说,explain
都,All
很,very
要,want
也,also
他们,them
和,and
想,think
人,people
会,meeting
一个,one
来,Come
把,Bundle
对,right
没有,No
做,Do
不是,no
让,let
给,Give
可以,Can
你们,you
呢,Woolen cloth
但,but
到,arrive
还,return
现在,Now
这个,this
能,able
怎么,how
就是,that is
跟,and
如果,if
没,without
它,it
走,Walk
得,have to
被,quilt
这里,here
这样,so
个,indivual
看,look
事,thing
着,Wearing
谁,who
过,Pass
不会,Won't
告诉,Tell
为什么,Why
不能,cannot
真的,real
先生,gentlemen
只是,only
不要,don't want
已经,already
再,Again
哦,oh
需要,need
因为,because
谢谢,Thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again
谢谢,Thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again
